title,rating
The Wolf of Wall Street,8.1
Room,8.1
V for Vendetta,8.1
Mr. Smith Goes to Washington,8.1
Warrior,8.1
Blade Runner,8.1
Dial M for Murder,8.1
Wild Strawberries,8.1
No Country for Old Men,8.1
The General,8.1
There Will Be Blood,8.1
Trainspotting,8.1
The Sixth Sense,8.1
Gone with the Wind,8.1
The Thing,8.1
Fargo,8.1
Come and See,8.1
Gran Torino,8.1
Finding Nemo,8.1
The Deer Hunter,8.1
The Big Lebowski,8.1
Shutter Island,8.1
Sherlock Jr.,8.1
Kill Bill: Vol. 1,8.1
Cool Hand Luke,8.1
Neon Genesis Evangelion: The End of Evangelion,8.1
Tokyo Story,8.1
Rebecca,8.1
Мэри и Макс,8.1
Hacksaw Ridge,8.1
How to Train Your Dragon,8.1
Gone Girl,8.1
Jurassic Park,8.1
Дикие истории,8.1
Sunrise,8.1
The Truman Show,8.1
Stalker,8.1
Into the Wild,8.1
In the Name of the Father,8.1
The Grand Budapest Hotel,8.1
Stand by Me,8.1
It Happened One Night,8.1
Platoon,8.1
Life of Brian,8.1
Network,8.1
Memories of Murder,8.1
The Bandit,8.1
Persona,8.1
Ben-Hur,8.1
12 Years a Slave,8.1
Hotel Rwanda,8.1
Million Dollar Baby,8.1
Before Sunrise,8.1
Andrei Rublev,8.1
The Wages of Fear,8.1
Rush,8.1
Mad Max: Fury Road,8.1
Prisoners,8.1
The Passion of Joan of Arc,8.1
The 400 Blows,8.1
Hachi: A Dog's Tale,8.1
Spotlight,8.1
Amores Perros,8.1
Logan,8.1
Catch Me If You Can,8.1
The Princess Bride,8.1
Nausicaä of the Valley of the Wind,8.1
Harry Potter and the Deathly Hallows: Part 2,8.0
Цвет шафрана,8.0
Butch Cassidy and the Sundance Kid,8.0
Rocky,8.0
Barry Lyndon,8.0
"Monsters, Inc.",8.0
The Grapes of Wrath,8.0
The Maltese Falcon,8.0
Dead Poets Society,8.0
The Terminator,8.0
Donnie Darko,8.0
Gandhi,8.0
La Haine,8.0
Diabolique,8.0
In the Mood for Love,8.0
Groundhog Day,8.0
The Handmaiden,8.0
The Wizard of Oz,8.0
The Help,8.0
Jaws,8.0
The Nights of Cabiria,8.0
Before Sunset,8.0
Castle in the Sky,8.0
"Париж, Техас",8.0
Bohemian Rhapsody,8.0
The Best Years of Our Lives,8.0
Tangerines,8.0
Банды Вассейпура,8.0
Pirates of the Caribbean: The Curse of the Black Pearl,8.0
Guardians of the Galaxy,8.0
Beauty and the Beast,8.0
The Exorcist,8.0
Акира,8.0
Песнь моря,8.0
